index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,trading_price_4,sold_quantity_4,unit_price_4,spot_market_quantity_00Ran@0,spot_market_loss_00Ran@0,balance_00Ran@0,inventory_00Ran@0_input,inventory_00Ran@0_output,productivity_00Ran@0,assets_00Ran@0,bankrupt_00Ran@0,score_00Ran@0,spot_market_quantity_01Buy@0,spot_market_loss_01Buy@0,balance_01Buy@0,inventory_01Buy@0_input,inventory_01Buy@0_output,productivity_01Buy@0,assets_01Buy@0,bankrupt_01Buy@0,score_01Buy@0,spot_market_quantity_02MyA@1,spot_market_loss_02MyA@1,balance_02MyA@1,inventory_02MyA@1_input,inventory_02MyA@1_output,productivity_02MyA@1,assets_02MyA@1,bankrupt_02MyA@1,score_02MyA@1,spot_market_quantity_03Ran@1,spot_market_loss_03Ran@1,balance_03Ran@1,inventory_03Ran@1_input,inventory_03Ran@1_output,productivity_03Ran@1,assets_03Ran@1,bankrupt_03Ran@1,score_03Ran@1,spot_market_quantity_04Dec@2,spot_market_loss_04Dec@2,balance_04Dec@2,inventory_04Dec@2_input,inventory_04Dec@2_output,productivity_04Dec@2,assets_04Dec@2,bankrupt_04Dec@2,score_04Dec@2,spot_market_quantity_05Dec@2,spot_market_loss_05Dec@2,balance_05Dec@2,inventory_05Dec@2_input,inventory_05Dec@2_output,productivity_05Dec@2,assets_05Dec@2,bankrupt_05Dec@2,score_05Dec@2,spot_market_quantity_06Ind@3,spot_market_loss_06Ind@3,balance_06Ind@3,inventory_06Ind@3_input,inventory_06Ind@3_output,productivity_06Ind@3,assets_06Ind@3,bankrupt_06Ind@3,score_06Ind@3,spot_market_quantity_07Dec@3,spot_market_loss_07Dec@3,balance_07Dec@3,inventory_07Dec@3_input,inventory_07Dec@3_output,productivity_07Dec@3,assets_07Dec@3,bankrupt_07Dec@3,score_07Dec@3,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
0,0,0,0,0,10.0,20,10.0,14.0,0,,20.0,0,,26.0,0,,38.0,0,,0,0.2,16981,9,0,0.0,90.0,False,-0.00263604944057173,0,0.2,16961,11,0,0.0,110.0,False,-0.003221838205143225,0,0.2,24967,0,0,0.0,0.0,False,0.0,0,0.2,24967,0,0,0.0,0.0,False,0.0,0,0.2,35494,0,0,0.0,0.0,False,0.0,0,0.2,35494,0,0,0.0,0.0,False,0.0,0,0.2,46590,0,0,0.0,0.0,False,0.0,0,0.2,46590,0,0,0.0,0.0,False,0.0,0.0,248044,0.0,0.0,8,0,0,0,0,0.0,468,468,102,0.0,0.0,0,0,102,200,1.5426961759803817,1.5426961759803817
1,102,0,0,0,10.0,20,10.0,14.0,0,,20.0,0,,26.0,0,,38.0,0,,0,0.2,16871,20,0,0.0,200.0,False,-0.0058578876457149555,0,0.2,16871,20,0,0.0,200.0,False,-0.0058578876457149555,0,0.2,24967,0,0,0.0,0.0,False,0.0,0,0.2,24967,0,0,0.0,0.0,False,0.0,0,0.2,35494,0,0,0.0,0.0,False,0.0,0,0.2,35494,0,0,0.0,0.0,False,0.0,0,0.2,46590,0,0,0.0,0.0,False,0.0,0,0.2,46590,0,0,0.0,0.0,False,0.0,0.0,247844,0.0,0.0,9,0,0,17,0,0.0,25,42,38,446.0,477.0,27,75,38,200,3.0492434030165896,4.591939578996971
2,38,0,0,0,10.0,20,10.0,12.943396226415095,8,7.0,17.358490566037737,8,2.5,26.0,0,,38.0,0,,0,0.2,16781,29,0,0.0,290.0,False,-0.008493937086286684,8,0.28,16681,31,0,0.0,310.0,False,-0.013766035967430144,0,0.2,24911,0,8,0.8,138.8679245283019,False,0.0005380687413044882,8,0.28,24775,0,0,0.0,0.0,False,-0.007690150999319101,0,0.2,35486,0,2,0.2,52.0,False,0.0005071279652899081,0,0.2,35482,0,6,0.6,156.0,False,0.0018594692060629966,0,0.2,46590,0,0,0.0,0.0,False,0.0,0,0.2,46590,0,0,0.0,0.0,False,0.0,0.2,247296,0.0,0.0,11,0,0,12,4,4.0,21,33,32,278.0,241.0,16,22,32,200,1.6393162210006267,6.231255799997598
3,32,0,0,0,10.0,20,10.0,9.841079460269864,19,2.0526315789473686,15.901328273244783,5,2.0,27.4,5,40.0,38.0,0,,19,0.39,16339,37,0,0.0,370.0,False,-0.032042645422060805,0,0.272,16561,43,0,0.0,430.0,False,-0.01728076855485912,0,0.2,24872,9,18,1.0,374.7936240608349,False,0.0037007574810916885,5,0.322,24665,0,0,0.0,0.0,False,-0.012095966676012336,3,0.23,35583,0,5,0.5,137.0,False,0.004437369696286697,0,0.2,35482,0,6,0.0,164.39999999999998,False,0.0019777990646305597,0,0.2,46390,0,5,0.5,190.0,False,-0.0022537025112685126,0,0.2,46590,0,0,0.0,0.0,False,0.0,0.25,246482,0.0,0.0,11,0,0,15,5,4.6,14,29,19,178.0,163.0,11,21,19,200,1.149823855026625,7.381079655024223
4,19,0,0,0,10.0,20,10.0,9.841079460269864,0,,14.690062941064276,5,3.2,28.66,5,40.0,38.0,20,38.0,0,0.37100000000000005,16239,47,0,0.0,470.0,False,-0.034971589244918284,0,0.272,16461,53,0,0.0,530.0,False,-0.020209712377716595,0,0.2,24872,0,27,0.9,396.63169940873547,False,0.0041380962752579796,5,0.36700000000000005,24554,0,0,0.0,0.0,False,-0.01654183522249369,0,0.227,35778,0,1,0.1,28.66,False,0.008405082549163287,0,0.2,35471,0,10,0.4,286.6,False,0.003389305234687635,7,0.27,46499,0,0,0.0,0.0,False,-0.0019532088430993778,8,0.28,46292,0,5,0.5,190.0,False,-0.0043571581884524575,0.2375,246166,0.0,0.0,14,0,0,11,9,9.0,12,23,20,81.0,83.0,5,14,20,590,0.9441317840246484,8.325211439048871
5,20,0,0,0,10.0,20,10.0,9.841079460269864,0,,13.14569349653111,6,1.0,28.101785714285715,11,25.818181818181817,38.0,20,38.0,0,0.37100000000000005,16129,58,0,0.0,580.0,False,-0.03819342745006151,0,0.272,16371,62,0,0.0,620.0,False,-0.022845761818288325,0,0.2,24872,0,27,0.0,354.93372440633993,False,0.0033030344936584824,6,0.42200000000000004,24411,0,0,0.0,0.0,False,-0.0222693956021949,5,0.277,35706,0,1,0.1,28.101785714285715,False,0.006368707185922789,0,0.2,35666,0,10,0.5,281.01785714285717,False,0.00880455650451985,8,0.3430000000000001,46317,0,6,0.6,228.0,False,-0.003412749517063748,7,0.342,46193,0,5,0.5,190.0,False,-0.006482077699077055,0.21250000000000002,245665,0.0,0.0,10,0,0,16,12,11.166666666666668,14,30,24,118.0,61.0,9,11,24,514,1.0620434730080888,9.38725491205696
6,24,0,0,0,10.0,20,10.0,9.841079460269864,0,,11.904255378395089,6,2.0,28.995126353790617,5,38.0,38.0,20,38.0,0,0.37100000000000005,16029,68,0,0.0,680.0,False,-0.041122371272918984,0,0.272,16271,72,0,0.0,720.0,False,-0.0257747056411458,0,0.2,24872,0,27,0.0,321.4148952166674,False,0.002631771843166283,6,0.47600000000000003,24271,0,0,0.0,0.0,False,-0.027876797372531743,0,0.272,35702,0,3,0.2,86.98537906137184,False,0.007085498662610168,0,0.2,35848,0,9,0.4,260.95613718411556,False,0.013649576508481882,0,0.3350000000000001,46469,0,2,0.0,76.0,False,-0.0017814981755741575,11,0.44500000000000006,46022,0,5,0.5,190.0,False,-0.010152393217428633,0.1375,245484,0.0,0.0,14,0,0,16,8,8.0,13,29,26,111.0,88.0,8,16,26,732,1.1567575830267742,10.544012495083734
7,26,0,0,0,10.0,20,10.0,9.841079460269864,0,,10.636628769929853,7,1.8571428571428572,31.386016034535924,15,39.333333333333336,38.0,20,38.0,0,0.37100000000000005,15899,81,0,0.0,810.0,False,-0.044929998242633704,0,0.272,16201,79,0,0.0,790.0,False,-0.027824966317146038,0,0.2,24872,0,27,0.0,287.18897678810606,False,0.0019463487160673598,7,0.54,24104,0,0,0.0,0.0,False,-0.034565626627147836,2,0.29200000000000004,35840,0,0,0.0,0.0,False,0.009748126443906012,1,0.21000000000000002,36194,0,7,0.7,219.70211224175148,False,0.022816562126581254,4,0.37500000000000006,46121,0,10,1.0,380.0,False,-0.005988409529942048,9,0.524,45883,0,5,0.5,190.0,False,-0.01313586606567933,0.275,245114,0.0,0.0,15,0,0,14,12,10.6,13,27,26,98.0,95.0,7,19,26,666,1.0503837949945591,11.594396290078294
8,26,0,0,0,10.0,20,10.0,9.841079460269864,0,,8.177499625227421,27,3.6296296296296298,32.353340451048645,10,38.0,38.0,20,38.0,0,0.37100000000000005,15849,86,0,0.0,860.0,False,-0.046394470154062444,0,0.272,16051,94,0,0.0,940.0,False,-0.03221838205143225,0,0.2,24872,0,27,0.0,220.79248988114037,False,0.0006166637938306519,27,0.8030000000000002,23290,0,0,0.0,0.0,False,-0.06716866263467777,5,0.34,35807,11,10,1.0,413.48590038798807,False,0.01464312137809183,0,0.20900000000000002,36354,0,8,0.6,258.82672360838916,False,0.027875510277911648,2,0.39100000000000007,46107,0,10,1.0,380.0,False,-0.006288903198111183,3,0.5450000000000002,46048,0,0,0.0,0.0,False,-0.011633397724833655,0.325,244378,0.0,0.0,14,0,0,15,8,6.75,15,30,24,152.0,126.0,9,17,24,770,1.083198814012576,12.67759510409087
9,24,0,0,0,10.000000000000002,20,10.0,9.841079460269864,0,,9.622361420553277,16,15.875,33.14267899229206,10,38.0,38.0,20,38.0,0,0.37100000000000005,15809,90,0,0.0,900.0000000000001,False,-0.04756604768320544,0,0.272,15891,110,0,0.0,1100.0000000000002,False,-0.03690469216800422,0,0.2,25112,0,19,0.0,182.82486699051228,False,0.009468996415078207,8,0.8560000000000001,23097,0,0,0.0,0.0,False,-0.074898866503785,0,0.3350000000000001,35992,6,15,1.0,554.8743534077006,False,0.021846993201776462,0,0.20900000000000002,36295,1,13,1.0,440.4771883203501,False,0.028772147240665326,2,0.40900000000000003,46283,0,5,0.5,190.0,False,-0.00455033268941833,8,0.6220000000000001,45758,0,5,0.5,190.0,False,-0.015818845245760892,0.375,244237,0.0,0.0,17,0,0,16,7,7.0,13,29,24,160.0,101.0,11,13,24,1200,1.1944479660014622,13.872043070092332
